epoch,lr-CustomAdam/pg1,lr-CustomAdam/pg2,mean_optimizer_step_time_ms,step,train_acc,train_loss,val_acc,val_loss
,0.02,0.02,,49,,,,
0,,,,49,0.77734375,-0.7673008441925049,,
,0.02,0.02,,99,,,,
0,,,,99,0.7265625,-0.7221287488937378,,
0,,,,107,,,0.7738000154495239,-0.7676711082458496
0,,,6.4027791023254395,107,,,,
,0.02,0.02,,149,,,,
1,,,,149,0.783203125,-0.7776086330413818,,
,0.02,0.02,,199,,,,
1,,,,199,0.857421875,-0.8463341593742371,,
1,,,,215,,,0.8596000075340271,-0.8525303602218628
1,,,5.361626625061035,215,,,,
,0.02,0.02,,249,,,,
2,,,,249,0.875,-0.8668470978736877,,
,0.02,0.02,,299,,,,
2,,,,299,0.869140625,-0.8639869689941406,,
2,,,,323,,,0.8587999939918518,-0.8538827300071716
2,,,3.5680482387542725,323,,,,
,0.02,0.02,,349,,,,
3,,,,349,0.84765625,-0.8429348468780518,,
,0.02,0.02,,399,,,,
3,,,,399,0.859375,-0.8577392101287842,,
3,,,,431,,,0.8673999905586243,-0.8618710041046143
3,,,8.552652359008789,431,,,,
,0.02,0.02,,449,,,,
4,,,,449,0.849609375,-0.8464922308921814,,
,0.02,0.02,,499,,,,
4,,,,499,0.85546875,-0.8475406169891357,,
4,,,,539,,,0.9057999849319458,-0.897601842880249
4,,,5.538989067077637,539,,,,
,0.02,0.02,,549,,,,
5,,,,549,0.953125,-0.9390918016433716,,
,0.02,0.02,,599,,,,
5,,,,599,0.953125,-0.9435086250305176,,
5,,,,647,,,0.9503999948501587,-0.942168653011322
5,,,6.671931266784668,647,,,,
,0.02,0.02,,649,,,,
6,,,,649,0.95703125,-0.9489699006080627,,
,0.02,0.02,,699,,,,
6,,,,699,0.953125,-0.9460782408714294,,
,0.02,0.02,,749,,,,
6,,,,749,0.943359375,-0.9360833168029785,,
6,,,,755,,,0.9476000070571899,-0.9418319463729858
6,,,6.589268684387207,755,,,,
,0.02,0.02,,799,,,,
7,,,,799,0.9453125,-0.9394986033439636,,
,0.02,0.02,,849,,,,
7,,,,849,0.96875,-0.9624555110931396,,
7,,,,863,,,0.9473999738693237,-0.9428814649581909
7,,,6.220890998840332,863,,,,
,0.02,0.02,,899,,,,
8,,,,899,0.978515625,-0.9717224836349487,,
,0.02,0.02,,949,,,,
8,,,,949,0.96484375,-0.9594759345054626,,
8,,,,971,,,0.9520000219345093,-0.9487190246582031
8,,,4.440890789031982,971,,,,
,0.02,0.02,,999,,,,
9,,,,999,0.951171875,-0.9518989324569702,,
,0.02,0.02,,1049,,,,
9,,,,1049,0.978515625,-0.9701476097106934,,
9,,,,1079,,,0.9556000232696533,-0.95040363073349
9,,,4.676084518432617,1079,,,,
,0.02,0.02,,1099,,,,
10,,,,1099,0.951171875,-0.9497379660606384,,
,0.02,0.02,,1149,,,,
10,,,,1149,0.95703125,-0.9553857445716858,,
10,,,,1187,,,0.9527999758720398,-0.9496980309486389
10,,,5.549127101898193,1187,,,,
,0.02,0.02,,1199,,,,
11,,,,1199,0.96484375,-0.9631717205047607,,
,0.02,0.02,,1249,,,,
11,,,,1249,0.9765625,-0.9723774194717407,,
11,,,,1295,,,0.9491999745368958,-0.9457150101661682
11,,,5.936453342437744,1295,,,,
,0.02,0.02,,1299,,,,
12,,,,1299,0.966796875,-0.9619248509407043,,
,0.02,0.02,,1349,,,,
12,,,,1349,0.958984375,-0.9554915428161621,,
,0.02,0.02,,1399,,,,
12,,,,1399,0.951171875,-0.947705864906311,,
12,,,,1403,,,0.9521999955177307,-0.9496548771858215
12,,,6.008432865142822,1403,,,,
,0.02,0.02,,1449,,,,
13,,,,1449,0.955078125,-0.9524003267288208,,
,0.02,0.02,,1499,,,,
13,,,,1499,0.962890625,-0.9597983956336975,,
13,,,,1511,,,0.9531999826431274,-0.9494298100471497
13,,,7.798832416534424,1511,,,,
,0.02,0.02,,1549,,,,
14,,,,1549,0.955078125,-0.9525433778762817,,
,0.02,0.02,,1599,,,,
14,,,,1599,0.9609375,-0.9595268964767456,,
14,,,,1619,,,0.9552000164985657,-0.9533745050430298
14,,,4.053308486938477,1619,,,,
,0.02,0.02,,1649,,,,
15,,,,1649,0.958984375,-0.9591065049171448,,
,0.02,0.02,,1699,,,,
15,,,,1699,0.966796875,-0.964348554611206,,
15,,,,1727,,,0.9531999826431274,-0.9513919949531555
15,,,6.617790222167969,1727,,,,
,0.02,0.02,,1749,,,,
16,,,,1749,0.970703125,-0.966072678565979,,
,0.02,0.02,,1799,,,,
16,,,,1799,0.974609375,-0.9741678833961487,,
16,,,,1835,,,0.953000009059906,-0.9511445164680481
16,,,6.257107257843018,1835,,,,
,0.02,0.02,,1849,,,,
17,,,,1849,0.958984375,-0.9597797393798828,,
,0.02,0.02,,1899,,,,
17,,,,1899,0.96484375,-0.9604021906852722,,
17,,,,1943,,,0.9567999839782715,-0.95401531457901
17,,,4.827664375305176,1943,,,,
,0.02,0.02,,1949,,,,
18,,,,1949,0.962890625,-0.9610100984573364,,
,0.02,0.02,,1999,,,,
18,,,,1999,0.96875,-0.9665639996528625,,
18,,,7.340880393981934,1999,,,,
